release_date,CPIAUCSL,CPILFESL,CPIUFDSL,CPIHOSSL,CUSR0000SETB01,PCEPI,PCEPILFE,DPCERD3A086NBEA,GASREGW,DCOILWTICO
1947-12-31,,,,,,,,,,
1948-12-31,,,,,,,,,,
1949-03-31,,,,,,,,,,
1949-04-30,,,,,,,,,,
1949-05-31,,,,,,,,,,
1949-06-30,,,,,,,,,,
1949-07-31,,,,,,,,,,
1949-08-31,,,,,,,,,,
1949-09-30,,,,,,,,,,
1949-10-31,,,,,,,,,,
1949-11-30,,,,,,,,,,
1949-12-31,,,,,,,,,,
1950-01-31,,,,,,,,,,
1950-02-28,,,,,,,,,,
1950-03-31,,,,,,,,,,
1950-04-30,,,,,,,,,,
1950-05-31,,,,,,,,,,
1950-06-30,,,,,,,,,,
1950-07-31,,,,,,,,,,
1950-08-31,,,,,,,,,,
1950-09-30,,,,,,,,,,
1950-10-31,,,,,,,,,,
1950-11-30,,,,,,,,,,
1950-12-31,,,,,,,,,,
1951-01-31,,,,,,,,,,
1951-02-28,,,,,,,,,,
1951-03-31,,,,,,,,,,
1951-04-30,,,,,,,,,,
1951-05-31,,,,,,,,,,
1951-06-30,,,,,,,,,,
1951-07-31,,,,,,,,,,
1951-08-31,,,,,,,,,,
1951-09-30,,,,,,,,,,
1951-10-31,,,,,,,,,,
1951-11-30,,,,,,,,,,
1951-12-31,,,,,,,,,,
1952-01-31,,,,,,,,,,
1952-02-29,,,,,,,,,,
1952-03-31,,,,,,,,,,
1952-04-30,,,,,,,,,,
1952-05-31,,,,,,,,,,
1952-06-30,,,,,,,,,,
1952-07-31,,,,,,,,,,
1952-08-31,,,,,,,,,,
1952-09-30,,,,,,,,,,
1952-10-31,,,,,,,,,,
1952-11-30,,,,,,,,,,
1952-12-31,,,,,,,,,,
1953-01-31,,,,,,,,,,
1953-02-28,,,,,,,,,,
1953-03-31,,,,,,,,,,
1953-04-30,,,,,,,,,,
1953-05-31,,,,,,,,,,
1953-06-30,,,,,,,,,,
1953-07-31,,,,,,,,,,
1953-08-31,,,,,,,,,,
1953-09-30,,,,,,,,,,
1953-10-31,,,,,,,,,,
1953-11-30,,,,,,,,,,
1953-12-31,,,,,,,,,,
1954-01-31,,,,,,,,,,
1954-02-28,,,,,,,,,,
1954-03-31,,,,,,,,,,
1954-04-30,,,,,,,,,,
1954-05-31,,,,,,,,,,
1954-06-30,,,,,,,,,,
1954-07-31,,,,,,,,,,
1954-08-31,,,,,,,,,,
1954-09-30,,,,,,,,,,
1954-10-31,,,,,,,,,,
1954-11-30,,,,,,,,,,
1954-12-31,,,,,,,,,,
1955-01-31,,,,,,,,,,
1955-02-28,,,,,,,,,,
1955-03-31,,,,,,,,,,
1955-04-30,,,,,,,,,,
1955-05-31,,,,,,,,,,
1955-06-30,,,,,,,,,,
1955-07-31,,,,,,,,,,
1955-08-31,,,,,,,,,,
1955-09-30,,,,,,,,,,
1955-10-31,,,,,,,,,,
1955-11-30,,,,,,,,,,
1955-12-31,,,,,,,,,,
1956-01-31,,,,,,,,,,
1956-02-29,,,,,,,,,,
1956-03-31,,,,,,,,,,
1956-04-30,,,,,,,,,,
1956-05-31,,,,,,,,,,
1956-06-30,,,,,,,,,,
1956-07-31,,,,,,,,,,
1956-08-31,,,,,,,,,,
1956-09-30,,,,,,,,,,
1956-10-31,,,,,,,,,,
1956-11-30,,,,,,,,,,
1956-12-31,,,,,,,,,,
1957-01-31,,,,,,,,,,
1957-02-28,,,,,,,,,,
1957-03-31,,,,,,,,,,
1957-04-30,,,,,,,,,,
1957-05-31,,,,,,,,,,
1957-06-30,,,,,,,,,,
1957-07-31,,,,,,,,,,
1957-08-31,,,,,,,,,,
1957-09-30,,,,,,,,,,
1957-10-31,,,,,,,,,,
1957-11-30,,,,,,,,,,
1957-12-31,,,,,,,,,,
1958-01-31,,,,,,,,,,
1958-02-28,,,,,,,,,,
1958-03-31,,,,,,,,,,
1958-04-30,,,,,,,,,,
1958-05-31,,,,,,,,,,
1958-06-30,,,,,,,,,,
1958-07-31,,,,,,,,,,
1958-08-31,,,,,,,,,,
1958-09-30,,,,,,,,,,
1958-10-31,,,,,,,,,,
1958-11-30,,,,,,,,,,
1958-12-31,,,,,,,,,,
1959-01-31,,,,,,,,,,
1959-02-28,,,,,,,,,,
1959-03-31,,,,,,,,,,
1959-04-30,,,,,,,,,,
1959-05-31,,,,,,,,,,
1959-06-30,,,,,,,,,,
1959-07-31,,,,,,,,,,
1959-08-31,,,,,,,,,,
1959-09-30,,,,,,,,,,
1959-10-31,,,,,,,,,,
1959-11-30,,,,,,,,,,
1959-12-31,,,,,,,,,,
1960-01-31,,,,,,,,,,
1960-02-29,,,,,,,,,,
1960-03-31,,,,,,,,,,
1960-04-30,,,,,,,,,,
1960-05-31,,,,,,,,,,
1960-06-30,,,,,,,,,,
1960-07-31,,,,,,,,,,
1960-08-31,,,,,,,,,,
1960-09-30,,,,,,,,,,
1960-10-31,,,,,,,,,,
1960-11-30,,,,,,,,,,
1960-12-31,,,,,,,,,,
1961-01-31,,,,,,,,,,
1961-02-28,29.84,30.8,30.5,,,,,,,
1961-03-31,,,,,,,,,,
1961-04-30,,,,,,,,,,
1961-05-31,,,,,,,,,,
1961-06-30,,,,,,,,,,
1961-07-31,,,,,,,,,,
1961-08-31,,,,,,,,,,
1961-09-30,,,,,,,,,,
1961-10-31,,,,,,,,,,
1961-11-30,,,,,,,,,,
1961-12-31,,,,,,,,,,
1962-01-31,,,,,,,,,,
1962-02-28,30.04,31.2,30.4,,,,,,,
1962-03-31,,,,,,,,,,
1962-04-30,,,,,,,,,,
1962-05-31,,,,,,,,,,
1962-06-30,,,,,,,,,,
1962-07-31,,,,,,,,,,
1962-08-31,,,,,,,,,,
1962-09-30,,,,,,,,,,
1962-10-31,,,,,,,,,,
1962-11-30,,,,,,,,,,
1962-12-31,,,,,,,,,,
1963-01-31,,,,,,,,,,
1963-02-28,,,,,,,,,,
1963-03-31,,,,,,,,,,
1963-04-30,,,,,,,,,,
1963-05-31,,,,,,,,,,
