,id,fullname,url,vintage_update,source,source_key
0,BEA.GDP,Gross Domestic Product,https://www.bea.gov/data/gdp/gross-domestic-product,source,fred,53.0
1,BEA.PI,Personal Income and Outlays,https://www.bea.gov/data/income-saving/personal-income,source,fred,54.0
2,SP.CS,S&P/Case-Shiller Home Price Indices,https://us.spindices.com/index-family/sp-corelogic-case-shiller/sp-corelogic-case-shiller-composite,source,fred,199.0
3,CEN.RESCON,New Residential Construction,http://www.census.gov/construction/nrc/,source,fred,27.0
4,CEN.RESSALES,New Residential Sales,http://www.census.gov/construction/nrs/,source,fred,97.0
5,CEN.MFG,"Manufacturer's Shipments, Inventories, and Orders (M3) Survey",http://www.census.gov/indicator/www/m3/,source,fred,95.0
6,FRB.G17,G.17 Industrial Production and Capacity Utilization,http://www.federalreserve.gov/releases/g17/,source,fred,13.0
7,CEN.CON,Construction Spending,http://www.census.gov/construction/c30/c30index.html,source,fred,229.0
8,BEA.MOT,"Supplemental Estimates, Motor Vehicles",https://www.bea.gov/data/gdp/gross-domestic-product#collapse86,source,fred,93.0
9,BLS.EMP,Employment Situation,http://www.bls.gov/ces/,source,fred,50.0
10,BLS.JOLTS,Job Openings and Labor Turnover Survey,http://www.bls.gov/jlt/,source,fred,192.0
11,EIA.SPOT,Spot Prices,http://www.eia.doe.gov/dnav/pet/pet_pri_spt_s1_d.htm,source,fred,212.0
12,FRB.H8,H.8 Assets and Liabilities of Commercial Banks in the United States,http://www.federalreserve.gov/releases/h8/,source,fred,22.0
13,STL.FSI,St. Louis Fed Financial Stress Index,https://files.stlouisfed.org/files/htdocs/publications/es/10/ES1002.pdf,source,fred,187.0
14,FRB.G5,G.5 Foreign Exchange Rates,http://www.federalreserve.gov/releases/g5/,source,fred,15.0
15,CEN.ADV,Advance Monthly Sales for Retail and Food Services,https://www.census.gov/retail/index.html,source,fred,92.0
16,KAN.LABOR,Kansas City Fed Labor Market Conditions Indicators,https://www.kansascityfed.org/data-and-trends/labor-market-conditions-indicators/,source,fred,341.0
17,OECD.MEI,Main Economic Indicators,http://www.oecd-ilibrary.org/economics/data/main-economic-indicators/main-economic-indicators-complete-database_data-00052-en,source,fred,205.0
18,FRB.BANK,Charge-Off and Delinquency Rates on Loans and Leases at Commercial Banks,http://www.federalreserve.gov/releases/chargeoff/default.htm,source,fred,231.0
19,NYF.MS,Empire State Manufacturing Survey,http://www.newyorkfed.org/survey/empire/empiresurvey_overview.html,source,fred,321.0
20,DAL.MOS,Texas Manufacturing Outlook Survey,https://www.dallasfed.org/research/surveys/tmos.aspx,source,fred,374.0
21,PHI.BOS,Manufacturing Business Outlook Survey,https://www.philadelphiafed.org/research-and-data/regional-economy/business-outlook-survey/,source,fred,351.0
22,MOO.BOND,Moody's Daily Corporate Bond Yield Averages,https://www.moodys.com/,source,fred,427.0
23,NYF.FFR,Federal Funds Data,https://apps.newyorkfed.org/markets/autorates/fed%20funds,source,fred,378.0
24,NYF.SOFR,Secured Overnight Financing Rate Data,https://apps.newyorkfed.org/markets/autorates/sofr,source,fred,445.0
25,FRB.H15,H.15 Selected Interest Rates,http://www.federalreserve.gov/releases/h15/,source,fred,17.0
26,FRB.H10,H.10 Foreign Exchange Rates,https://www.federalreserve.gov/releases/h10/,source,fred,
27,FMCC.MORT,Primary Mortgage Market Survey,http://www.freddiemac.com/pmms/,source,fred,190.0
28,BLS.CPI,Consumer Price Index,http://www.bls.gov/cpi/,source,fred,10.0
29,YHOO,Yahoo! Finance,https://finance.yahoo.com,day,yahoo,
30,COIN.CRYPT,Coinbase CryptoCurrency,https://coinbase.com,source,fred,441.0
31,Z.ZHVI,Zillow Home Value Index,https://www.zillow.com/research/data/,source,fred,503.0
32,CEN.MTIS,Manufacturing and Trade Inventories and Sales,http://www.census.gov/mtis/www/mtis.html,source,fred,25.0
33,BLS.PPI,Producer Price Index,http://www.bls.gov/ppi/,source,fred,46.0
