release_date,release_date,cpi_value
1949-03-24,1949-03-24,21.48
1949-04-22,1949-04-22,23.91
1949-05-23,1949-05-23,23.92
1949-06-24,1949-06-24,23.91
1949-07-22,1949-07-22,23.92
1949-08-26,1949-08-26,23.7
1949-09-28,1949-09-28,23.7
1949-10-28,1949-10-28,23.75
1949-11-28,1949-11-28,23.67
1949-12-28,1949-12-28,23.7
1950-01-26,1950-01-26,23.61
1950-02-24,1950-02-24,23.51
1950-03-25,1950-03-25,23.61
1950-04-22,1950-04-22,23.64
1950-05-20,1950-05-20,23.65
1950-06-25,1950-06-25,23.77
1950-07-22,1950-07-22,23.88
1950-08-23,1950-08-23,24.07
1950-09-24,1950-09-24,24.2
1950-10-24,1950-10-24,24.34
1950-11-29,1950-11-29,24.5
1950-12-23,1950-12-23,24.6
1951-01-25,1951-01-25,24.98
1951-03-02,1951-03-02,25.38
1951-04-20,1951-04-20,25.88
1951-05-23,1951-05-23,25.92
1951-06-27,1951-06-27,25.99
1951-07-26,1951-07-26,25.93
1951-08-24,1951-08-24,25.91
1951-09-21,1951-09-21,25.86
1951-10-25,1951-10-25,26.03
1951-11-23,1951-11-23,26.16
1951-12-21,1951-12-21,26.32
1952-01-25,1952-01-25,26.47
1952-02-26,1952-02-26,26.45
1952-03-21,1952-03-21,26.41
1952-04-22,1952-04-22,26.39
1952-05-22,1952-05-22,26.46
1952-06-19,1952-06-19,26.47
1952-07-24,1952-07-24,26.53
1952-08-21,1952-08-21,26.68
1952-09-19,1952-09-19,26.69
1952-10-24,1952-10-24,26.63
1952-11-21,1952-11-21,26.69
1952-12-19,1952-12-19,26.69
1953-01-16,1953-01-16,26.71
1953-02-27,1953-02-27,26.64
1953-03-26,1953-03-26,26.59
1953-04-22,1953-04-22,26.63
1953-05-22,1953-05-22,26.69
1953-06-23,1953-06-23,26.7
1953-07-22,1953-07-22,26.77
1953-08-26,1953-08-26,26.79
1953-09-23,1953-09-23,26.85
1953-10-28,1953-10-28,26.89
1953-11-25,1953-11-25,26.95
1953-12-23,1953-12-23,26.85
1954-01-22,1954-01-22,26.87
1954-02-26,1954-02-26,26.94
1954-03-24,1954-03-24,26.99
1954-04-22,1954-04-22,26.93
1954-05-21,1954-05-21,26.86
1954-06-22,1954-06-22,26.93
1954-07-23,1954-07-23,26.94
1954-08-20,1954-08-20,26.86
