date,release_date,CPIAUCSL
2000-01-14,2000-01-14,168.8
2000-02-18,2000-02-18,169.3
2000-03-17,2000-03-17,170.0
2000-04-14,2000-04-14,171.0
2000-05-16,2000-05-16,170.9
2000-06-14,2000-06-14,171.2
2000-07-18,2000-07-18,172.2
2000-08-16,2000-08-16,172.7
2000-09-15,2000-09-15,172.7
2000-10-18,2000-10-18,173.6
2000-11-16,2000-11-16,173.9
2000-12-15,2000-12-15,174.2
2001-01-17,2001-01-17,174.6
2001-02-21,2001-02-21,175.6
2001-03-21,2001-03-21,176.0
2001-04-17,2001-04-17,176.1
2001-05-16,2001-05-16,176.4
2001-06-15,2001-06-15,177.3
2001-07-18,2001-07-18,177.7
2001-08-16,2001-08-16,177.4
2001-09-18,2001-09-18,177.4
2001-10-19,2001-10-19,178.1
2001-11-16,2001-11-16,177.6
2001-12-14,2001-12-14,177.5
2002-01-16,2002-01-16,177.4
2002-02-20,2002-02-20,177.7
2002-03-21,2002-03-21,178.0
2002-04-16,2002-04-16,178.5
2002-05-15,2002-05-15,179.3
2002-06-18,2002-06-18,179.5
2002-07-19,2002-07-19,179.6
2002-08-16,2002-08-16,180.0
2002-09-18,2002-09-18,180.5
2002-10-18,2002-10-18,180.8
2002-11-19,2002-11-19,181.2
2002-12-17,2002-12-17,181.5
2003-01-16,2003-01-16,181.8
2003-02-21,2003-02-21,182.6
2003-03-21,2003-03-21,183.6
2003-04-16,2003-04-16,183.9
2003-05-16,2003-05-16,183.2
2003-06-17,2003-06-17,182.9
2003-07-16,2003-07-16,183.1
2003-08-15,2003-08-15,183.7
2003-09-16,2003-09-16,184.5
2003-10-16,2003-10-16,185.1
2003-11-18,2003-11-18,184.9
2003-12-16,2003-12-16,185.0
2004-01-15,2004-01-15,185.5
2004-02-20,2004-02-20,186.3
2004-03-17,2004-03-17,186.7
2004-04-14,2004-04-14,187.1
2004-05-14,2004-05-14,187.4
2004-06-15,2004-06-15,188.2
2004-07-16,2004-07-16,188.9
2004-08-17,2004-08-17,189.1
2004-09-16,2004-09-16,189.2
2004-10-19,2004-10-19,189.8
2004-11-17,2004-11-17,190.8
2004-12-17,2004-12-17,191.7
2005-01-19,2005-01-19,191.7
2005-02-18,2005-02-18,191.6
2005-03-23,2005-03-23,192.4
2005-04-20,2005-04-20,193.1
2005-05-18,2005-05-18,193.7
2005-06-15,2005-06-15,193.6
2005-07-14,2005-07-14,193.7
2005-08-16,2005-08-16,194.9
2005-09-15,2005-09-15,196.1
2005-10-14,2005-10-14,198.8
2005-11-16,2005-11-16,199.1
2005-12-15,2005-12-15,198.1
2006-01-18,2006-01-18,198.1
2006-02-17,2006-02-17,199.3
2006-03-16,2006-03-16,199.4
2006-04-19,2006-04-19,199.7
2006-05-17,2006-05-17,200.7
2006-06-14,2006-06-14,201.3
2006-07-19,2006-07-19,201.8
2006-08-16,2006-08-16,202.9
2006-09-15,2006-09-15,203.8
2006-10-18,2006-10-18,202.8
2006-11-16,2006-11-16,201.9
2006-12-15,2006-12-15,202.0
2007-01-18,2007-01-18,203.1
2007-02-16,2007-02-16,203.437
2007-03-16,2007-03-16,204.226
2007-04-17,2007-04-17,205.288
2007-05-15,2007-05-15,205.904
2007-06-15,2007-06-15,206.755
2007-07-18,2007-07-18,207.234
2007-08-15,2007-08-15,207.603
2007-09-19,2007-09-19,207.667
2007-10-17,2007-10-17,208.547
2007-11-15,2007-11-15,209.19
2007-12-14,2007-12-14,210.834
2008-01-16,2008-01-16,211.445
2008-02-15,2008-02-15,212.174
2008-03-14,2008-03-14,212.687
2008-04-16,2008-04-16,213.448
2008-05-14,2008-05-14,213.942
2008-06-13,2008-06-13,215.208
2008-07-16,2008-07-16,217.463
2008-08-14,2008-08-14,219.016
2008-09-16,2008-09-16,218.69
2008-10-16,2008-10-16,218.877
2008-11-19,2008-11-19,216.995
2008-12-16,2008-12-16,213.153
2009-01-16,2009-01-16,211.398
2009-02-18,2009-02-18,211.933
2009-03-18,2009-03-18,212.705
2009-04-15,2009-04-15,212.495
2009-05-15,2009-05-15,212.709
2009-06-17,2009-06-17,213.022
2009-07-15,2009-07-15,214.79
2009-08-14,2009-08-14,214.726
2009-09-16,2009-09-16,215.445
2009-10-15,2009-10-15,215.861
2009-11-18,2009-11-18,216.509
2009-12-16,2009-12-16,217.234
2010-01-15,2010-01-15,217.347
2010-02-17,2010-02-17,217.488
2010-03-18,2010-03-18,217.281
2010-04-14,2010-04-14,217.353
2010-05-19,2010-05-19,217.403
2010-06-17,2010-06-17,217.29
2010-07-16,2010-07-16,217.199
2010-08-13,2010-08-13,217.605
2010-09-17,2010-09-17,217.923
2010-10-15,2010-10-15,218.275
2010-11-17,2010-11-17,219.035
2010-12-15,2010-12-15,219.59
2011-01-14,2011-01-14,220.472
2011-02-15,2011-02-15,221.187
2011-03-17,2011-03-17,221.898
2011-04-15,2011-04-15,223.046
2011-05-13,2011-05-13,224.093
2011-06-15,2011-06-15,224.806
2011-07-15,2011-07-15,224.806
2011-08-18,2011-08-18,225.395
2011-09-15,2011-09-15,226.106
2011-10-19,2011-10-19,226.597
2011-11-16,2011-11-16,226.75
2011-12-16,2011-12-16,227.169
2012-01-19,2012-01-19,227.223
2012-02-15,2012-02-15,227.842
2012-03-16,2012-03-16,228.329
2012-04-13,2012-04-13,228.807
2012-05-15,2012-05-15,229.187
2012-06-14,2012-06-14,228.713
2012-07-17,2012-07-17,228.524
2012-08-15,2012-08-15,228.59
2012-09-14,2012-09-14,229.918
2012-10-16,2012-10-16,231.015
2012-11-15,2012-11-15,231.638
2012-12-14,2012-12-14,231.249
2013-01-16,2013-01-16,231.221
2013-02-19,2013-02-19,231.679
2013-03-15,2013-03-15,232.937
2013-04-16,2013-04-16,232.282
2013-05-16,2013-05-16,231.797
2013-06-18,2013-06-18,231.893
2013-07-16,2013-07-16,232.445
2013-08-15,2013-08-15,232.9
2013-09-17,2013-09-17,233.456
2013-10-30,2013-10-30,233.544
2013-11-20,2013-11-20,233.669
2013-12-17,2013-12-17,234.1
2014-01-16,2014-01-16,234.719
2014-02-18,2014-02-18,235.288
2014-03-18,2014-03-18,235.547
2014-04-15,2014-04-15,236.028
2014-05-15,2014-05-15,236.468
2014-06-17,2014-06-17,236.918
