,Importance
CPI_YOY_LAG_1,0.33567638808255945
CPI_YOY_LAG_8,0.20801507612162784
GASREGW,0.2057096872356161
PPIACO,0.19753259085849606
CPI_YOY_LAG_3,0.12948340368418604
CPI_YOY_LAG_12,0.10748229916456097
PAYEMS,0.10259095511193472
Y001RX1Q020SBEA,0.10214649634363071
IPFUELS,0.09858447164072844
ACOGNO,0.08631698324328443
PMSAVE,0.0845785753095156
DMOTRX1Q020SBEA,0.08442912650961117
DCOILWTICO,0.08209669315126167
MORTGAGE30US,0.07833946649252853
TCU,0.07319942347160241
FGCEC1,0.06720236894273206
A253RX1Q020SBEA,0.06592301694202779
DGORDER,0.06571897420772743
PERMIT,0.06500170704661903
CPI_YOY_LAG_2,0.06433243586456902
