,predicted,actual
2015-01-01,6.114098398255891,
2015-01-02,6.042180956658996,
2015-01-03,6.042180956658996,
2015-01-04,6.042180956658996,
2015-01-05,6.046568001499406,
2015-01-06,5.950323547412734,
2015-01-07,5.909143665229574,
2015-01-08,5.904848880424375,
2015-01-09,6.105192990703606,
2015-01-10,6.105192990703606,
2015-01-11,6.105192990703606,
2015-01-12,6.028460132365529,
2015-01-13,6.076717008524219,
2015-01-14,6.069370193154781,
2015-01-15,6.048393072415589,
2015-01-16,5.769711637307837,0.6531213919623104
2015-01-17,5.769711637307837,
2015-01-18,5.769711637307837,
2015-01-19,5.769711637307837,
2015-01-20,5.770927620246288,
2015-01-21,5.738500122989656,
2015-01-22,5.692867597711025,
2015-01-23,5.6951542853257395,
2015-01-24,5.6951542853257395,
2015-01-25,5.6951542853257395,
2015-01-26,5.69625479478298,
2015-01-27,5.715634592511886,
2015-01-28,5.689756894141889,
2015-01-29,5.6970210222555115,
2015-01-30,5.801911759264044,
2015-01-31,5.801911759264044,
2015-02-01,5.801911759264044,
2015-02-02,5.717845306543033,
2015-02-03,5.658829408003809,
2015-02-04,5.66653653952257,
2015-02-05,5.685508829045885,
2015-02-06,5.729078692689391,
2015-02-07,5.729078692689391,
2015-02-08,5.729078692689391,
2015-02-09,5.7634679213063125,
2015-02-10,5.799537086026978,
2015-02-11,5.778371655411357,
2015-02-12,5.790901247480315,
2015-02-13,5.792892719105512,
2015-02-14,5.792892719105512,
2015-02-15,5.792892719105512,
2015-02-16,5.792892719105512,
2015-02-17,5.853544301660074,
2015-02-18,7.04741133409455,
2015-02-19,7.08170515021756,
2015-02-20,7.007130788195561,-0.229930978205432
2015-02-21,7.007130788195561,
2015-02-22,7.007130788195561,
2015-02-23,7.014987485085822,
2015-02-24,7.021338212258137,
2015-02-25,6.981280908349096,
2015-02-26,6.979366938381046,
2015-02-27,6.643191833494937,
2015-02-28,6.643191833494937,
2015-03-01,6.643191833494937,
2015-03-02,6.663196559507828,
2015-03-03,6.63258304516587,
2015-03-04,6.618288235656519,
2015-03-05,6.626708053348576,
2015-03-06,6.75558392713191,
2015-03-07,6.75558392713191,
2015-03-08,6.75558392713191,
2015-03-09,6.7980643624335855,
2015-03-10,6.765371535811754,
2015-03-11,6.781931792107633,
2015-03-12,6.7694690935477,
2015-03-13,6.600099348475524,
2015-03-14,6.600099348475524,
2015-03-15,6.600099348475524,
2015-03-16,6.582303799115708,
2015-03-17,6.561167563563011,
2015-03-18,6.616057050949293,
2015-03-19,6.635198371004799,
2015-03-20,6.792742580925836,
2015-03-21,6.792742580925836,
2015-03-22,6.792742580925836,
2015-03-23,6.8012032611646145,
2015-03-24,6.781902581548969,-0.0870314629352036
2015-03-25,6.783518825453024,
2015-03-26,6.770115868174179,
2015-03-27,6.7066784169464055,
2015-03-28,6.7066784169464055,
2015-03-29,6.7066784169464055,
2015-03-30,6.701622364621631,
2015-03-31,6.71776769692242,
2015-04-01,6.704542709649834,
2015-04-02,6.840100265172943,
2015-04-03,6.861184627254309,
2015-04-04,6.861184627254309,
2015-04-05,6.861184627254309,
2015-04-06,6.802647032994813,
2015-04-07,6.744081600002379,
2015-04-08,6.707452225024914,
2015-04-09,6.689902260199833,
2015-04-10,6.658854997013562,
2015-04-11,6.658854997013562,
2015-04-12,6.658854997013562,
2015-04-13,6.613444698046145,
2015-04-14,6.640761367934933,
2015-04-15,6.665701268068678,
2015-04-16,6.674280725624823,
2015-04-17,6.7403431891383185,-0.0220312844238787
2015-04-18,6.7403431891383185,
2015-04-19,6.7403431891383185,
2015-04-20,6.6609302926444895,
2015-04-21,6.634627195510914,
2015-04-22,6.642272365678539,
2015-04-23,6.672144696639887,
2015-04-24,6.555293251065728,
2015-04-25,6.555293251065728,
2015-04-26,6.555293251065728,
2015-04-27,6.562323850569057,
2015-04-28,6.583465729389603,
2015-04-29,6.621492263786952,
2015-04-30,6.511519951178193,
2015-05-01,6.629981172719327,
2015-05-02,6.629981172719327,
2015-05-03,6.629981172719327,
2015-05-04,6.590005170098713,
2015-05-05,6.61652397450519,
2015-05-06,6.644554918610432,
2015-05-07,6.627384896300123,
2015-05-08,6.629016072528541,
2015-05-09,6.629016072528541,
