,Importance
CPIHOSSL_LAG_2,0.7289809630478824
CPIHOSSL_LAG_3,0.6704355397101098
CPILFESL_LAG_3,0.5709610364194988
CPILFESL_LAG_1,0.5586215530263556
CPIUFDSL_LAG_1,0.4631751742129988
CUSR0000SETB01,0.4311199699010666
CPIUFDSL_LAG_3,0.3513257596778865
CPILFESL_LAG_2,0.3330893807534032
CPIHOSSL_LAG_1,0.31207285680836505
CPIAUCSL_LAG_1,0.298146627713064
PCEPILFE,0.1951807456185613
GASREGW,0.1885233357548366
CPIAUCSL_LAG_3,0.11269511362598492
CPIUFDSL_LAG_2,0.10460366141919658
CPIAUCSL_LAG_2,0.0919787960024155
DPCERD3A086NBEA,0.027441877481017136
PCEPI,0.026423657787264437
DCOILWTICO,0.019042212104399374
