,Importance
PPIACO,0.3060778603780366
MORTGAGE30US,0.2142317963814216
PAYEMS,0.20655554142604018
CPIAUCSL_LAG_1,0.19419903823975415
PCEPI,0.18063414930195137
ACOGNO,0.15077300155901993
GASREGW,0.10151340721598333
DTRSRX1Q020SBEA,0.07642274106530483
CEFDFSA066MSFRBPHI,0.07552323054755361
DONGRX1Q020SBEA,0.06833605594846162
DCOILWTICO,0.06758192510152074
A253RX1Q020SBEA,0.06288680906737769
DRBLACBS,0.05714488360788845
PERMIT,0.054757915264830107
DMOTRX1Q020SBEA,0.054002786596858934
IPFUELS,0.04958405224728634
FGCEC1,0.04933187116380185
EFFR,0.044627526636897834
CBBTCUSD,0.04220751747820095
DGORDER,0.04107444884318819
