,Importance
CPI_YOY_LAG_1,0.49267808
PCEPILFE,0.1060373
CUSR0000SETB01,0.08677127
CPIUFDSL,0.08646598
CPI_YOY_LAG_11,0.0776123
CPI_YOY_LAG_6,0.06836614
PCEPI,0.038602203
DPCERD3A086NBEA,0.033586167
CPILFESL,0.0049022916
CPIHOSSL,0.003967521
GASREGW,0.00082079065
CPI_YOY_LAG_4,6.78789e-05
CPI_YOY_LAG_8,4.0699244e-05
CPI_YOY_LAG_7,2.8039085e-05
CPI_YOY_LAG_5,1.8447288e-05
DCOILWTICO,1.7945024e-05
CPI_YOY_LAG_9,1.4081219e-05
CPI_YOY_LAG_2,1.4635492e-06
CPI_YOY_LAG_3,9.819507e-07
CPI_YOY_LAG_10,2.2729667e-07
