,predicted,actual
2020-01-01,1.3931727,
2020-01-02,1.3931727,
2020-01-03,1.3931727,
2020-01-04,1.3931727,
2020-01-05,1.3931727,
2020-01-06,1.3931727,
2020-01-07,1.3931727,
2020-01-08,1.3938104,
2020-01-09,1.3938104,
2020-01-10,1.3938104,
2020-01-11,1.3938104,
2020-01-12,1.3938104,
2020-01-13,1.3938104,
2020-01-14,1.4029139,2.3195274699624555
2020-01-15,1.4011079,
2020-01-16,1.4011079,
2020-01-17,1.4011079,
2020-01-18,1.4011079,
2020-01-19,1.4011079,
2020-01-20,1.4011079,
2020-01-21,1.4011079,
2020-01-22,1.4011079,
2020-01-23,1.401344,
2020-01-24,1.401344,
2020-01-25,1.401344,
2020-01-26,1.401344,
2020-01-27,1.401344,
2020-01-28,1.401344,
2020-01-29,1.4020486,
2020-01-30,1.4020486,
2020-01-31,1.4020486,
2020-02-01,1.4020486,
2020-02-02,1.4020486,
2020-02-03,1.4020486,
2020-02-04,1.4020486,
2020-02-05,1.402118,
2020-02-06,1.402118,
2020-02-07,1.402118,
2020-02-08,1.402118,
2020-02-09,1.402118,
2020-02-10,1.402118,
2020-02-11,1.402118,2.599767976845199
2020-02-12,1.4019334,
2020-02-13,1.4019334,
2020-02-14,1.4019334,
2020-02-15,1.4019334,
2020-02-16,1.4019334,
2020-02-17,1.4019334,
2020-02-18,1.4019334,
2020-02-19,1.4019334,
2020-02-20,1.404154,
2020-02-21,1.404154,
2020-02-22,1.404154,
2020-02-23,1.404154,
2020-02-24,1.404154,
2020-02-25,1.404154,
2020-02-26,1.4019334,
2020-02-27,1.4019334,
2020-02-28,1.6093123,
2020-02-29,1.6093123,
2020-03-01,1.6093123,
2020-03-02,1.6093123,
2020-03-03,1.6093123,
2020-03-04,1.6115328,
2020-03-05,1.6115328,
2020-03-06,1.6115328,
2020-03-07,1.6115328,
2020-03-08,1.6115328,
2020-03-09,1.6036578,
2020-03-10,1.6036578,
2020-03-11,1.5946037,2.341316679759517
2020-03-12,1.5946037,
2020-03-13,1.5946037,
2020-03-14,1.5946037,
2020-03-15,1.5946037,
2020-03-16,1.5946037,
2020-03-17,1.5946037,
2020-03-18,1.5946037,
2020-03-19,1.5946037,
2020-03-20,1.5946037,
2020-03-21,1.5946037,
2020-03-22,1.5946037,
2020-03-23,1.5922955,
2020-03-24,1.5922955,
2020-03-25,1.5922955,
2020-03-26,1.5922955,
2020-03-27,1.5922955,
2020-03-28,1.5922955,
2020-03-29,1.5922955,
2020-03-30,1.5142574,
2020-03-31,1.5142574,
2020-04-01,1.5142574,
2020-04-02,1.5142574,
2020-04-03,1.5142574,
2020-04-04,1.5142574,
2020-04-05,1.5142574,
2020-04-06,1.5140178,
2020-04-07,1.5140178,
2020-04-08,1.5140178,
2020-04-09,1.5140178,
2020-04-10,1.4940133,1.494039964290925
2020-04-11,1.4940133,
2020-04-12,1.4940133,
2020-04-13,1.4940133,
2020-04-14,1.4940133,
2020-04-15,1.4940133,
2020-04-16,1.4940133,
2020-04-17,1.4940133,
2020-04-18,1.4940133,
2020-04-19,1.4940133,
2020-04-20,1.4940133,
2020-04-21,1.4940133,
2020-04-22,1.4940133,
2020-04-23,1.4940133,
2020-04-24,1.4940133,
2020-04-25,1.4940133,
2020-04-26,1.4940133,
2020-04-27,1.4940133,
2020-04-28,1.4940133,
2020-04-29,1.4940133,
2020-04-30,1.2796845,
2020-05-01,1.2796845,
2020-05-02,1.2796845,
2020-05-03,1.2796845,
2020-05-04,1.2796845,
2020-05-05,1.2796845,
2020-05-06,1.2796845,
2020-05-07,1.2796845,
2020-05-08,1.2796845,
2020-05-09,1.2796845,
2020-05-10,1.2796845,
2020-05-11,1.2796845,
2020-05-12,0.31317818,0.3130472940411225
2020-05-13,0.31317818,
2020-05-14,0.31317818,
2020-05-15,0.31317818,
2020-05-16,0.31317818,
2020-05-17,0.31317818,
2020-05-18,0.31317818,
2020-05-19,0.31317818,
2020-05-20,0.31298563,
2020-05-21,0.31298563,
2020-05-22,0.31298563,
2020-05-23,0.31298563,
2020-05-24,0.31298563,
2020-05-25,0.31298563,
2020-05-26,0.31298563,
2020-05-27,0.31298563,
2020-05-28,0.31298563,
2020-05-29,0.31298563,
2020-05-30,0.31298563,
2020-05-31,0.31298563,
2020-06-01,0.31298563,
2020-06-02,0.31298563,
2020-06-03,0.31298563,
2020-06-04,0.31298563,
2020-06-05,0.31298563,
2020-06-06,0.31298563,
2020-06-07,0.31298563,
2020-06-08,0.31298563,
2020-06-09,0.31298563,
2020-06-10,0.1994748,0.1982013035848584
2020-06-11,0.1994748,
2020-06-12,0.1994748,
2020-06-13,0.1994748,
2020-06-14,0.1994748,
2020-06-15,0.1994748,
2020-06-16,0.1994748,
