,predicted,actual
2020-01-01,3.4181776,
2020-01-02,3.4181776,
2020-01-03,3.4004502,
2020-01-04,3.4004502,
2020-01-05,3.4004502,
2020-01-06,3.404121,
2020-01-07,3.4042592,
2020-01-08,3.4042592,
2020-01-09,3.4042592,
2020-01-10,3.4047236,
2020-01-11,3.4047236,
2020-01-12,3.4047236,
2020-01-13,3.3211088,
2020-01-14,3.4043574,2.3195274699624555
2020-01-15,3.3609114,
2020-01-16,3.278016,
2020-01-17,3.3081312,
2020-01-18,3.3081312,
2020-01-19,3.3081312,
2020-01-20,3.3081312,
2020-01-21,3.3910432,
2020-01-22,3.3081312,
2020-01-23,3.3910432,
2020-01-24,3.3958168,
2020-01-25,3.3958168,
2020-01-26,3.3958168,
2020-01-27,3.3750663,
2020-01-28,3.3750663,
2020-01-29,3.3750663,
2020-01-30,3.3750663,
2020-01-31,3.3972945,
2020-02-01,3.3972945,
2020-02-02,3.3972945,
2020-02-03,3.3972945,
2020-02-04,3.4064417,
2020-02-05,3.4064417,
2020-02-06,3.4064417,
2020-02-07,3.4064417,
2020-02-08,3.4064417,
2020-02-09,3.4064417,
2020-02-10,3.4064417,
2020-02-11,3.3877392,2.599767976845199
2020-02-12,3.323101,
2020-02-13,3.323101,
2020-02-14,3.2499957,
2020-02-15,3.2499957,
2020-02-16,3.2499957,
2020-02-17,3.2499957,
2020-02-18,3.333064,
2020-02-19,3.250152,
2020-02-20,3.250152,
2020-02-21,3.332809,
2020-02-22,3.332809,
2020-02-23,3.332809,
2020-02-24,3.3412514,
2020-02-25,3.3241892,
2020-02-26,3.342463,
2020-02-27,3.342463,
2020-02-28,3.3214993,
2020-02-29,3.3214993,
2020-03-01,3.3214993,
2020-03-02,3.322711,
2020-03-03,3.3214993,
2020-03-04,3.322711,
2020-03-05,3.331387,
2020-03-06,3.2115445,
2020-03-07,3.2115445,
2020-03-08,3.2115445,
2020-03-09,3.2115445,
2020-03-10,3.2318769,
2020-03-11,3.2620263,2.341316679759517
2020-03-12,3.2622733,
2020-03-13,3.363226,
2020-03-14,3.363226,
2020-03-15,3.363226,
2020-03-16,3.3623838,
2020-03-17,3.518652,
2020-03-18,3.661269,
2020-03-19,3.661269,
2020-03-20,3.8393452,
2020-03-21,3.8393452,
2020-03-22,3.8393452,
2020-03-23,3.8393452,
2020-03-24,3.8393452,
2020-03-25,3.7019682,
2020-03-26,3.8393452,
2020-03-27,3.7198415,
2020-03-28,3.7198415,
2020-03-29,3.7198415,
2020-03-30,3.6280532,
2020-03-31,3.715118,
2020-04-01,3.632371,
2020-04-02,3.6220531,
2020-04-03,3.6164165,
2020-04-04,3.6164165,
2020-04-05,3.6164165,
2020-04-06,3.6164165,
2020-04-07,3.6200871,
2020-04-08,3.6164165,
2020-04-09,3.668075,
2020-04-10,3.668075,1.494039964290925
2020-04-11,3.5983582,
2020-04-12,3.5983582,
2020-04-13,3.5983582,
2020-04-14,3.5983582,
2020-04-15,3.4258323,
2020-04-16,3.4258323,
2020-04-17,3.4258323,
2020-04-18,3.4258323,
2020-04-19,3.4258323,
2020-04-20,3.4286609,
2020-04-21,3.4286609,
2020-04-22,3.4286609,
2020-04-23,3.4286609,
2020-04-24,3.4251494,
2020-04-25,3.4251494,
2020-04-26,3.4251494,
2020-04-27,3.476808,
2020-04-28,3.4250164,
2020-04-29,3.4251494,
2020-04-30,2.9309645,
2020-05-01,2.9309645,
2020-05-02,2.9309645,
2020-05-03,2.9309645,
2020-05-04,2.9309645,
2020-05-05,3.0138764,
2020-05-06,3.0138764,
2020-05-07,2.9309645,
2020-05-08,4.2388144,
2020-05-09,4.2388144,
2020-05-10,4.2388144,
2020-05-11,4.2388144,
2020-05-12,4.26962,0.3130472940411225
2020-05-13,4.3321095,
2020-05-14,4.3321095,
2020-05-15,4.3321095,
2020-05-16,4.3321095,
2020-05-17,4.3321095,
2020-05-18,4.26962,
2020-05-19,4.118718,
2020-05-20,4.118718,
2020-05-21,4.1495237,
2020-05-22,4.0341616,
2020-05-23,4.0341616,
2020-05-24,4.0341616,
2020-05-25,4.0341616,
2020-05-26,4.0341616,
2020-05-27,4.030406,
2020-05-28,4.0341616,
2020-05-29,4.128146,
2020-05-30,4.128146,
2020-05-31,4.128146,
2020-06-01,4.128146,
2020-06-02,4.128146,
2020-06-03,4.128146,
2020-06-04,4.128146,
2020-06-05,4.128146,
2020-06-06,4.128146,
2020-06-07,4.128146,
2020-06-08,4.128146,
2020-06-09,4.128146,
2020-06-10,4.128146,0.1982013035848584
2020-06-11,4.158951,
2020-06-12,4.158951,
2020-06-13,4.158951,
2020-06-14,4.158951,
2020-06-15,4.158951,
2020-06-16,4.1958036,
2020-06-17,4.3159,
2020-06-18,4.3783894,
2020-06-19,4.3783894,
2020-06-20,4.3783894,
2020-06-21,4.3783894,
2020-06-22,4.374634,
2020-06-23,4.374634,
2020-06-24,4.3646584,
2020-06-25,4.374634,
2020-06-26,4.541421,
2020-06-27,4.541421,
2020-06-28,4.541421,
2020-06-29,4.3116684,
2020-06-30,4.3779135,
2020-07-01,4.3779135,
2020-07-02,4.3779135,
2020-07-03,4.3779135,
2020-07-04,4.3779135,
2020-07-05,4.3779135,
2020-07-06,4.315424,
2020-07-07,4.3779135,
2020-07-08,4.315424,
2020-07-09,4.3779135,
2020-07-10,4.5057964,
2020-07-11,4.5057964,
2020-07-12,4.5057964,
2020-07-13,4.4125013,
2020-07-14,4.4125013,0.7166562831830586
2020-07-15,4.4125013,
2020-07-16,4.4125013,
2020-07-17,4.4125013,
2020-07-18,4.4125013,
2020-07-19,4.4125013,
2020-07-20,4.4125013,
2020-07-21,4.4125013,
2020-07-22,4.4125013,
2020-07-23,4.4125013,
2020-07-24,4.315424,
2020-07-25,4.315424,
2020-07-26,4.315424,
2020-07-27,4.3159,
2020-07-28,4.3159,
2020-07-29,4.2850943,
2020-07-30,4.3159,
2020-07-31,4.3783894,
2020-08-01,4.3783894,
2020-08-02,4.3783894,
2020-08-03,4.3783894,
2020-08-04,4.3159,
2020-08-05,4.3159,
2020-08-06,4.3783894,
2020-08-07,3.0268493,
2020-08-08,3.0268493,
2020-08-09,3.0268493,
2020-08-10,2.9439373,
2020-08-11,2.9439373,
2020-08-12,2.9439373,0.9968647625898088
2020-08-13,2.9439373,
2020-08-14,3.042767,
2020-08-15,3.042767,
2020-08-16,3.042767,
2020-08-17,3.042767,
2020-08-18,3.042767,
2020-08-19,3.042767,
2020-08-20,3.042767,
2020-08-21,2.9439373,
2020-08-22,2.9439373,
2020-08-23,2.9439373,
2020-08-24,2.9439373,
2020-08-25,2.9439373,
2020-08-26,2.9439373,
2020-08-27,2.9439373,
2020-08-28,3.0268493,
2020-08-29,3.0268493,
2020-08-30,3.0268493,
2020-08-31,3.0268493,
2020-09-01,3.0268493,
2020-09-02,2.9439373,
2020-09-03,3.0268493,
2020-09-04,3.125679,
2020-09-05,3.125679,
2020-09-06,3.125679,
2020-09-07,3.125679,
2020-09-08,3.125679,
2020-09-09,3.042767,
2020-09-10,3.125679,
2020-09-11,3.0268493,1.281069849552396
2020-09-12,3.0268493,
2020-09-13,3.0268493,
2020-09-14,3.0268493,
2020-09-15,2.9439373,
2020-09-16,3.0268493,
2020-09-17,2.9439373,
2020-09-18,3.125679,
2020-09-19,3.125679,
2020-09-20,3.125679,
2020-09-21,3.125679,
2020-09-22,3.125679,
2020-09-23,3.125679,
2020-09-24,3.125679,
2020-09-25,3.0268493,
2020-09-26,3.0268493,
2020-09-27,3.0268493,
2020-09-28,3.008543,
2020-09-29,3.008543,
2020-09-30,3.008543,
2020-10-01,2.8497033,
2020-10-02,2.8497033,
2020-10-03,2.8497033,
2020-10-04,2.8497033,
2020-10-05,2.8497033,
2020-10-06,2.8497033,
2020-10-07,2.7667913,
2020-10-08,2.7667913,
2020-10-09,2.7667913,
2020-10-10,2.7667913,
2020-10-11,2.7667913,
2020-10-12,2.7667913,
2020-10-13,2.7667913,1.3910228912373777
2020-10-14,2.7667913,
2020-10-15,2.7667913,
2020-10-16,2.729939,
2020-10-17,2.729939,
2020-10-18,2.729939,
2020-10-19,2.812851,
2020-10-20,2.729939,
2020-10-21,2.812851,
2020-10-22,2.812851,
2020-10-23,2.812851,
2020-10-24,2.812851,
2020-10-25,2.812851,
2020-10-26,2.812851,
2020-10-27,2.812851,
2020-10-28,2.812851,
2020-10-29,2.812851,
2020-10-30,2.9116802,
2020-10-31,2.9116802,
2020-11-01,2.9116802,
2020-11-02,2.9116802,
2020-11-03,2.9116802,
2020-11-04,2.9116802,
2020-11-05,2.8287683,
2020-11-06,2.729939,
2020-11-07,2.729939,
2020-11-08,2.729939,
2020-11-09,2.729939,
2020-11-10,2.729939,
2020-11-11,2.729939,
2020-11-12,2.729939,1.2303863428671598
2020-11-13,2.729939,
2020-11-14,2.729939,
2020-11-15,2.729939,
2020-11-16,2.729939,
2020-11-17,2.7667913,
2020-11-18,2.7667913,
2020-11-19,2.7667913,
2020-11-20,2.7667913,
2020-11-21,2.7667913,
2020-11-22,2.7667913,
2020-11-23,2.7667913,
2020-11-24,2.7667913,
2020-11-25,2.7667913,
2020-11-26,2.7667913,
2020-11-27,2.7667913,
2020-11-28,2.7667913,
2020-11-29,2.7667913,
2020-11-30,2.7851586,
2020-12-01,2.7851586,
2020-12-02,2.7851586,
2020-12-03,2.7851586,
2020-12-04,2.7851586,
2020-12-05,2.7851586,
2020-12-06,2.7851586,
2020-12-07,2.7851586,
2020-12-08,2.7851586,
2020-12-09,2.7851586,
2020-12-10,2.7851586,1.1757452138405928
2020-12-11,2.7851586,
2020-12-12,2.7851586,
2020-12-13,2.7851586,
2020-12-14,2.7851586,
2020-12-15,2.7851586,
2020-12-16,2.7851586,
2020-12-17,2.7851586,
2020-12-18,2.7851586,
2020-12-19,2.7851586,
2020-12-20,2.7851586,
2020-12-21,2.8680706,
2020-12-22,2.8680706,
